"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Numero respuesta correcta","Explicación"
"👑 Cuando el órgano de contratación limite el número de lotes a los que puede concurrir un mismo licitador y el número de lotes que pueden adjudicarse a cada licitador, ¿cómo se computa una unión de empresarios conforme al artículo 99.4 de la Ley 9/2017?","Salvo que el pliego disponga otra cosa, la unión de empresarios se considera un único candidato o licitador a efectos de ambas limitaciones, sin que se computen separadamente sus componentes.","La unión de empresarios se considera un único candidato para limitar las ofertas, pero cada una de sus empresas integrantes se computa separadamente para determinar el número máximo de lotes adjudicables.","Cada empresa integrante de la unión se considera un candidato independiente para ambas limitaciones, salvo que el órgano de contratación establezca expresamente lo contrario en el anuncio de licitación.","La unión de empresarios se considera un único candidato únicamente cuando concurre a un solo lote, mientras que cuando presenta ofertas a varios lotes se computan individualmente sus empresas integrantes.","1","El artículo 99.4 establece que, salvo lo que disponga el pliego de cláusulas administrativas particulares, a efectos de las limitaciones previstas en las letras a) y b) del apartado 4, en las uniones de empresarios serán estas y no sus componentes las consideradas candidato o licitador. Por tanto, la unión se computa como una única candidata o licitadora para ambas limitaciones."
"¿Puede reservarse algún lote a Centros Especiales de Empleo o empresas de inserción?","Sí, en los términos establecidos en la disposición adicional cuarta","No, porque todos los lotes deben estar abiertos a cualquier empresario","Sí, pero únicamente en contratos de obras","Solo cuando el contrato sea de concesión de servicios","1","El artículo 99.4 permite reservar lotes para Centros Especiales de Empleo o empresas de inserción, o establecer porcentajes mínimos de reserva, conforme a la disposición adicional cuarta. :contentReference[oaicite:12]{index=12}"
"¿Cuándo puede adjudicarse una oferta integradora en un contrato dividido en lotes?","Cuando se haya permitido adjudicar más de un lote al mismo licitador y se cumplan los requisitos establecidos en el artículo 99.5","Siempre que el contrato se haya dividido en más de dos lotes","Únicamente cuando exista un único criterio de adjudicación","Cuando lo solicite el licitador después de conocer la clasificación final","1","El artículo 99.5 permite las ofertas integradoras cuando el órgano de contratación haya dividido el contrato en lotes y permita adjudicar más de un lote al mismo licitador, siempre que se cumplan todos los requisitos establecidos. :contentReference[oaicite:13]{index=13}"
"¿Cuál de las siguientes es una condición para admitir una oferta integradora?","Que esta posibilidad se haya establecido en el pliego y recogido en el anuncio de licitación","Que la oferta integradora se presente después de la adjudicación de los lotes individuales","Que exista un único criterio de adjudicación basado en el precio","Que el licitador no tenga que acreditar solvencia para el conjunto de lotes","1","El artículo 99.5.a exige que la posibilidad de oferta integradora esté prevista en el pliego y en el anuncio, concretándose las combinaciones admitidas y la solvencia y capacidad exigidas. :contentReference[oaicite:14]{index=14}"
"¿Qué otro requisito debe concurrir para poder adjudicar una oferta integradora?","Que existan varios criterios de adjudicación","Que el único criterio sea el precio","Que todos los lotes tengan idéntico objeto","Que se haya utilizado necesariamente el procedimiento restringido","1","El artículo 99.5.b exige que se trate de supuestos en los que existan varios criterios de adjudicación. :contentReference[oaicite:15]{index=15}"
"¿Cómo se determina, en principio, la normativa procedimental y de publicidad aplicable a los lotes?","En función del valor acumulado del conjunto de los lotes, con las excepciones legalmente previstas","En función exclusivamente del valor individual de cada lote","En función del lote de mayor valor, sin acumular los restantes","En función del precio final ofertado por cada licitador","1","El artículo 99.6 establece que las normas procedimentales y de publicidad se determinarán atendiendo al valor acumulado del conjunto, calculado conforme al artículo 101, salvo las excepciones previstas en los artículos 20.2, 21.2 y 22.2. :contentReference[oaicite:16]{index=16}"
"Como regla general, ¿qué consideración tiene cada lote adjudicado en un contrato dividido en lotes?","Cada lote constituye un contrato, salvo que se presenten ofertas integradoras, en cuyo caso todas las ofertas constituirán un contrato","Todos los lotes constituyen necesariamente un único contrato","Cada lote constituye siempre una mera parte del contrato sin autonomía jurídica","Solo constituye contrato el lote de mayor valor","1","El artículo 99.7 establece que, salvo previsión distinta en el pliego, cada lote constituye un contrato, excepto en los casos de ofertas integradoras, en los que todas las ofertas constituirán un contrato. :contentReference[oaicite:17]{index=17}"
"¿Qué es el presupuesto base de licitación?","El límite máximo de gasto que puede comprometer el órgano de contratación en virtud del contrato, incluido el IVA salvo disposición en contrario","El importe máximo que puede pagar el contratista a sus proveedores","El importe total sin IVA que se prevé que genere el contrato durante toda su duración","El precio finalmente ofertado por el adjudicatario, IVA excluido","1","El artículo 100.1 define el presupuesto base de licitación como el límite máximo de gasto que en virtud del contrato puede comprometer el órgano de contratación, incluido el IVA salvo disposición en contrario. :contentReference[oaicite:18]{index=18}"
"¿Debe el presupuesto base de licitación ser adecuado a los precios del mercado?","Sí, el órgano de contratación debe cuidar de que sea adecuado a los precios del mercado","No, porque el precio de mercado solo se comprueba después de la adjudicación","Solo en los contratos sujetos a regulación armonizada","Solo cuando el contrato tenga prestaciones laborales","1","El artículo 100.2 establece que al elaborar el presupuesto base de licitación los órganos de contratación deben cuidar de que sea adecuado a los precios del mercado. :contentReference[oaicite:19]{index=19}"
"¿Qué debe indicarse en el desglose del presupuesto base de licitación?","Los costes directos e indirectos y otros eventuales gastos calculados para su determinación","Únicamente los costes salariales","Solo los costes directos, quedando excluidos los indirectos","Exclusivamente el beneficio industrial del contratista","1","El artículo 100.2 exige que el PBL se desglose indicando los costes directos e indirectos y otros eventuales gastos calculados para su determinación. :contentReference[oaicite:20]{index=20}"
"⭐⭐⭐ Cuando los costes salariales formen parte del precio total del contrato, ¿cómo deben reflejarse en el presupuesto base de licitación?","De forma desglosada y con desagregación de género y categoría profesional, tomando como referencia el convenio laboral aplicable","De forma global, sin distinguir categorías profesionales","Únicamente por número de trabajadores, sin referencia al convenio","Exclusivamente mediante el salario mínimo interprofesional","1","El artículo 100.2 exige desglosar los costes salariales con desagregación de género y categoría profesional, estimándolos a partir del convenio laboral de referencia. :contentReference[oaicite:21]{index=21}"
"👑 En un contrato de servicios en el que los costes salariales de las personas empleadas formen parte del precio total, ¿qué exigencia específica establece el artículo 100.2 de la Ley 9/2017 respecto del presupuesto base de licitación?","Debe indicar de forma desglosada y con desagregación de género y categoría profesional los costes salariales estimados a partir del convenio laboral de referencia.","Debe incluir únicamente los costes laborales derivados de la normativa laboral vigente, sin necesidad de distinguir género o categoría profesional.","Debe calcular los costes salariales exclusivamente a partir del salario mínimo interprofesional, con independencia del convenio laboral aplicable.","Debe incluir los costes salariales dentro del valor estimado del contrato, pero no es necesario reflejarlos de forma diferenciada en el presupuesto base de licitación.","1","El artículo 100.2 establece que, cuando el coste de los salarios de las personas empleadas para la ejecución del contrato forme parte del precio total, el presupuesto base de licitación indicará de forma desglosada y con desagregación de género y categoría profesional los costes salariales estimados a partir del convenio laboral de referencia. Esta exigencia específica debe distinguirse de las reglas generales del artículo 101 sobre el cálculo del valor estimado."
"¿Es necesario aprobar un presupuesto base de licitación antes de tramitar un acuerdo marco o un sistema dinámico de adquisición?","No","Sí, siempre que el valor estimado supere 15.000 euros","Sí, pero solo para los sistemas dinámicos de adquisición","Sí, salvo que se trate de contratos de suministro","1","El artículo 100.3 establece expresamente que con carácter previo a la tramitación de un acuerdo marco o sistema dinámico de adquisición no es necesario aprobar un presupuesto base de licitación. :contentReference[oaicite:22]{index=22}"
"¿Qué diferencia fundamental existe entre el presupuesto base de licitación y el valor estimado del contrato?","El presupuesto base de licitación es el límite máximo de gasto e incluye normalmente el IVA, mientras que el valor estimado se calcula sin IVA y sirve, entre otras finalidades, para determinar el régimen de contratación aplicable","Ambos conceptos son idénticos y siempre incluyen el IVA","El valor estimado incluye el IVA y el presupuesto base de licitación lo excluye","El presupuesto base se calcula con las prórrogas y modificaciones previstas y el valor estimado solo con la duración inicial","1","El artículo 100 define el PBL como límite máximo de gasto incluido el IVA, mientras que el artículo 101 determina el valor estimado sin IVA e incorporando determinados elementos futuros como prórrogas, opciones y modificaciones previstas. :contentReference[oaicite:23]{index=23} :contentReference[oaicite:24]{index=24}"
"En un contrato de obras, suministros o servicios, ¿cómo se determina el valor estimado?","Tomando el importe total, sin incluir el IVA, que sea pagadero según las estimaciones del órgano de contratación","Tomando el presupuesto base de licitación incluido el IVA","Tomando exclusivamente el precio ofertado por el adjudicatario","Tomando únicamente la anualidad inicial del contrato","1","El artículo 101.1.a establece que, en obras, suministros y servicios, el valor estimado se determina tomando el importe total, sin IVA, pagadero según las estimaciones. :contentReference[oaicite:25]{index=25}"
"En una concesión de obras o de servicios, ¿qué magnitud se utiliza como base para calcular el valor estimado?","El importe neto de la cifra de negocios que se estime que generará la empresa concesionaria, sin IVA, durante la ejecución","El presupuesto base de licitación incluido el IVA","El precio abonado exclusivamente por la Administración","El coste de construcción de las instalaciones, con independencia de los ingresos previstos","1","El artículo 101.1.b establece que en las concesiones de obras y servicios se toma el importe neto de la cifra de negocios, sin IVA, que según las estimaciones generará la concesionaria durante la ejecución como contraprestación por las obras y servicios, incluidos los suministros relacionados. :contentReference[oaicite:26]{index=26}"
"¿Qué elemento debe incluirse en el cálculo del valor estimado además de los costes derivados de la normativa laboral?","Los costes de ejecución material, los gastos generales de estructura y el beneficio industrial","Únicamente el IVA repercutido","Solo los costes financieros del contratista","Exclusivamente las garantías exigidas al adjudicatario","1","El artículo 101.2 exige considerar, además de los costes laborales, otros costes de ejecución material, gastos generales de estructura y beneficio industrial. :contentReference[oaicite:27]{index=27}"
"¿Deben incluirse las prórrogas eventuales en el valor estimado?","Sí, deben tenerse en cuenta las eventuales prórrogas del contrato","No, porque el valor estimado solo contempla el período inicial","Solo cuando la prórroga llegue a ejecutarse efectivamente","Solo en los contratos de concesión","1","El artículo 101.2.a exige incluir cualquier forma de opción eventual y las eventuales prórrogas del contrato en el cálculo del valor estimado. :contentReference[oaicite:28]{index=28}"
"Si se prevé el pago de primas a candidatos o licitadores, ¿deben incluirse en el valor estimado?","Sí, debe incluirse la cuantía de dichas primas o pagos","No, porque no forman parte de la prestación contratada","Solo si las primas se pagan al adjudicatario","Solo si el contrato es de obras","1","El artículo 101.2.b exige incluir en el valor estimado la cuantía de las primas o pagos previstos para candidatos o licitadores. :contentReference[oaicite:29]{index=29}"
"Si el pliego prevé una modificación al alza del contrato conforme al artículo 204, ¿cómo afecta al valor estimado?","Debe tenerse en cuenta el importe máximo que el contrato pueda alcanzar considerando todas las modificaciones al alza previstas","No afecta al valor estimado hasta que la modificación sea efectivamente aprobada","Solo se tiene en cuenta el 50 por ciento del importe máximo de la modificación","La modificación prevista se excluye del valor estimado porque todavía no existe","1","El artículo 101.2.c establece que, cuando esté prevista una modificación conforme al artículo 204, el valor estimado debe incluir el importe máximo que el contrato pueda alcanzar teniendo en cuenta la totalidad de las modificaciones al alza previstas. :contentReference[oaicite:30]{index=30}"
"En contratos de servicios y concesiones de servicios en los que sea relevante la mano de obra, ¿qué costes laborales deben tenerse especialmente en cuenta al calcular el valor estimado?","Los derivados de los convenios colectivos sectoriales de aplicación","Únicamente los derivados del convenio colectivo de empresa del futuro adjudicatario","Exclusivamente los costes del salario mínimo interprofesional","Los costes laborales que determine libremente el órgano de contratación","1","El artículo 101.2 establece que en estos contratos deben tenerse especialmente en cuenta los costes laborales derivados de los convenios colectivos sectoriales aplicables. :contentReference[oaicite:31]{index=31}"
"En una concesión de obras o de servicios, ¿qué ingresos procedentes de los usuarios pueden integrar el valor estimado?","Las tasas y multas pagadas por los usuarios, distintas de las recaudadas en nombre del poder adjudicador","Únicamente las tasas recaudadas directamente por el poder adjudicador","Solo los impuestos estatales asociados al servicio","Únicamente las aportaciones voluntarias de los usuarios","1","El artículo 101.3.a incluye, cuando proceda, la renta procedente del pago de tasas y multas por los usuarios, distintas de las recaudadas en nombre del poder adjudicador. :contentReference[oaicite:32]{index=32}"
"¿Deben tenerse en cuenta en el valor estimado de una concesión las ventajas financieras concedidas al concesionario por una autoridad pública?","Sí, deben incluirse cuando proceda","No, porque las subvenciones nunca forman parte del valor de una concesión","Solo cuando procedan de una Administración extranjera","Solo cuando se concedan después de la adjudicación","1","El artículo 101.3.b incluye los pagos o ventajas financieras concedidos al concesionario por el poder adjudicador u otra autoridad pública, incluida la compensación por obligaciones de servicio público y las subvenciones a la inversión pública. :contentReference[oaicite:33]{index=33}"
"¿Qué sucede con el valor de los suministros y servicios que el poder adjudicador pone a disposición del concesionario cuando son necesarios para ejecutar la concesión?","Debe tenerse en cuenta en el valor estimado","Nunca se incluye porque no constituye un ingreso del concesionario","Solo se incluye si el concesionario paga por ellos","Se incluye únicamente cuando se trate de bienes inmuebles","1","El artículo 101.3.e establece que debe incluirse el valor de todos los suministros y servicios que el poder adjudicador ponga a disposición del concesionario, cuando sean necesarios para ejecutar las obras o prestar los servicios. :contentReference[oaicite:34]{index=34}"
"¿Puede elegirse el método de cálculo del valor estimado con la finalidad de evitar la aplicación de las normas de adjudicación correspondientes?","No, está expresamente prohibido","Sí, siempre que se justifique económicamente","Sí, cuando la reducción del valor estimado facilite la concurrencia","Solo cuando el contrato se divida en lotes","1","El artículo 101.4 prohíbe elegir el método de cálculo del valor estimado con la intención de sustraer el contrato a las normas de adjudicación que correspondan. :contentReference[oaicite:35]{index=35}"
"¿Dónde debe figurar el método utilizado por el órgano de contratación para calcular el valor estimado?","En los pliegos de cláusulas administrativas particulares","Únicamente en el anuncio de formalización","Exclusivamente en la resolución de adjudicación","En el contrato una vez formalizado","1","El artículo 101.5 establece que el método de cálculo aplicado debe figurar en los pliegos de cláusulas administrativas particulares. :contentReference[oaicite:36]{index=36}"
"Cuando el órgano de contratación está compuesto por unidades funcionales separadas, ¿qué valor debe tomarse como regla general?","El valor total estimado para todas las unidades funcionales individuales","El valor estimado de la unidad funcional que tramite el expediente","El valor de la unidad funcional con mayor presupuesto","El valor medio de las distintas unidades funcionales","1","El artículo 101.6 establece como regla general que se tenga en cuenta el valor total estimado para todas las unidades funcionales individuales. Existe una excepción cuando una unidad funcional separada es autónoma respecto de su contratación o determinadas categorías. :contentReference[oaicite:37]{index=37}"
"⭐⭐⭐ ¿En los contratos divididos en lotes, qué valor debe tenerse en cuenta para determinar las normas procedimentales y de publicidad aplicables a la adjudicación de cada lote?","El valor acumulado del conjunto de los lotes, calculado conforme al artículo 101","El valor estimado del lote individual que se pretende adjudicar","El valor estimado del lote de mayor cuantía","El precio ofertado para el conjunto de los lotes por cada licitador","1","El artículo 99.6 de la Ley 9/2017 establece que, cuando se proceda a la división en lotes, las normas procedimentales y de publicidad aplicables a la adjudicación de cada lote o prestación diferenciada se determinarán en función del valor acumulado del conjunto, calculado conforme al artículo 101."
"Para un acuerdo marco o sistema dinámico de adquisición, ¿qué valor debe considerarse?","El valor máximo estimado, sin IVA, del conjunto de contratos previstos durante toda su duración","El presupuesto base de licitación del primer contrato que se adjudique","El valor medio anual de los contratos adjudicados","El precio del primer contrato basado en el acuerdo marco","1","El artículo 101.13 establece que debe tenerse en cuenta el valor máximo estimado, excluido el IVA, del conjunto de contratos previstos durante toda la duración del acuerdo marco o sistema dinámico. :contentReference[oaicite:39]{index=39}"
"En una asociación para la innovación, ¿qué se incluye en el valor estimado?","El valor máximo estimado, sin IVA, de las actividades de investigación y desarrollo previstas y de las obras, suministros o servicios que se prevea ejecutar o adquirir al final de la asociación","Solo el coste de la fase inicial de investigación","Solo el precio de los suministros que eventualmente se adquieran","El valor estimado incluyendo el IVA de todas las fases","1","El artículo 101.14 exige considerar el valor máximo estimado, excluido el IVA, de las actividades de investigación y desarrollo previstas durante toda la asociación y de las obras, suministros o servicios que se prevea ejecutar o adquirir posteriormente. :contentReference[oaicite:40]{index=40}"
"¿Cómo debe ser el precio de los contratos del sector público?","Debe ser siempre cierto y abonarse en función de la prestación realmente ejecutada y conforme a lo pactado","Puede quedar indeterminado hasta la finalización del contrato","Debe fijarse siempre mediante un precio unitario","Debe ser necesariamente igual al presupuesto base de licitación","1","El artículo 102.1 establece que los contratos del sector público tendrán siempre un precio cierto, que se abonará al contratista en función de la prestación realmente ejecutada y de acuerdo con lo pactado. :contentReference[oaicite:41]{index=41}"
"¿Cómo se trata el IVA en el precio del contrato?","Está incluido en el precio y debe indicarse en todo caso como partida independiente","Está excluido del precio y no debe aparecer en el contrato","Se incluye únicamente cuando el contratista sea una persona física","Solo se indica cuando el contrato sea SARA","1","El artículo 102.1 establece que en el precio se entiende incluido el IVA, que en todo caso debe indicarse como partida independiente. :contentReference[oaicite:42]{index=42}"
"¿En qué moneda debe expresarse con carácter general el precio de un contrato público?","En euros","En la moneda del Estado donde tenga su sede el contratista","En la moneda elegida por el órgano de contratación","En euros únicamente cuando el contrato sea administrativo","1","El artículo 102.2 establece que, con carácter general, el precio debe expresarse en euros. :contentReference[oaicite:43]{index=43}"
"¿Puede preverse que la totalidad o parte del precio se satisfaga en una moneda distinta del euro?","Sí, si el contrato lo prevé, debiendo expresarse en la divisa correspondiente e incluir una estimación en euros del importe total","No, nunca puede utilizarse una moneda distinta del euro","Sí, pero únicamente en contratos internacionales","Sí, pero sin necesidad de indicar una estimación en euros","1","El artículo 102.2 permite que la totalidad o parte del precio se satisfaga en moneda distinta del euro cuando así se prevea, debiendo incluirse una estimación en euros del importe total. :contentReference[oaicite:44]{index=44}"
"¿Qué criterio debe utilizar el órgano de contratación para garantizar que el precio sea adecuado para el cumplimiento del contrato?","La correcta estimación del importe atendiendo al precio general de mercado","El precio más bajo ofertado en contratos anteriores","El presupuesto disponible de la Universidad","El precio que proponga inicialmente el contratista","1","El artículo 102.3 exige atender al precio general de mercado al fijar el presupuesto base de licitación y, en su caso, aplicar las normas sobre ofertas anormalmente bajas. :contentReference[oaicite:45]{index=45}"
"En un contrato de servicios cuyo principal coste económico sean los costes laborales, ¿qué debe tenerse en cuenta para determinar el precio?","Los términos económicos de los convenios colectivos sectoriales aplicables en el lugar de prestación","Únicamente el convenio colectivo interno del contratista","El salario mínimo interprofesional sin atender a convenios","Los costes laborales de la Administración contratante","1","El artículo 102.3 exige considerar los términos económicos de los convenios colectivos sectoriales, nacionales, autonómicos y provinciales aplicables en el lugar de prestación cuando el principal coste económico del servicio sean los costes laborales. :contentReference[oaicite:46]{index=46}"
"¿Cómo puede formularse el precio de un contrato?","Mediante precios unitarios o mediante precios a tanto alzado, en los términos previstos por la Ley","Únicamente mediante precio a tanto alzado","Únicamente mediante precios unitarios","Solo mediante un precio máximo provisional","1","El artículo 102.4 permite formular el precio mediante precios unitarios referidos a componentes o unidades de la prestación o mediante precios a tanto alzado para la totalidad o parte de las prestaciones. :contentReference[oaicite:47]{index=47}"
"¿Pueden los contratos incluir cláusulas de variación de precios vinculadas al cumplimiento de objetivos?","Sí, cuando la naturaleza y objeto del contrato lo permitan y se establezcan con precisión los supuestos y reglas de variación","No, porque cualquier variación del precio está prohibida","Sí, pero únicamente cuando el contrato sea de obras","Sí, aunque las reglas de variación puedan quedar indeterminadas hasta la ejecución","1","El artículo 102.6 permite incluir cláusulas de variación de precios vinculadas al cumplimiento o incumplimiento de objetivos de plazos o rendimiento, siempre que los supuestos y reglas estén definidos con precisión y el precio sea determinable. :contentReference[oaicite:48]{index=48}"
"¿En qué procedimientos pueden celebrarse excepcionalmente contratos con precios provisionales?","Tras un procedimiento negociado, diálogo competitivo o asociación para la innovación, en los supuestos legalmente previstos","En cualquier procedimiento abierto cuando no exista crédito suficiente","Exclusivamente en contratos menores","Únicamente en procedimientos restringidos","1","El artículo 102.7 permite excepcionalmente precios provisionales cuando, tras un procedimiento negociado, diálogo competitivo o asociación para la innovación, concurran las circunstancias que impidan determinar inicialmente un precio cierto con precisión. :contentReference[oaicite:49]{index=49}"
"En un contrato con precio provisional, ¿cómo se determinará posteriormente el precio?","Dentro de los límites del precio máximo, atendiendo a los costes realmente incurridos por el contratista y al beneficio acordado","Mediante una nueva licitación entre todos los participantes","Mediante el presupuesto base de licitación inicial sin posibilidad de ajuste","Mediante decisión unilateral del contratista","1","El artículo 102.7 establece que el precio se determinará dentro de los límites del precio máximo, en función de los costes realmente incurridos y del beneficio acordado, debiendo establecerse en el contrato el procedimiento y las reglas contables correspondientes. :contentReference[oaicite:50]{index=50}"
"¿Puede revisarse el precio de un contrato celebrado con precios provisionales?","No","Sí, siempre que haya transcurrido un año","Sí, cuando el contrato sea de servicios","Sí, cuando se supere el 20 por ciento de ejecución","1","El artículo 102.7 establece expresamente que en los contratos celebrados con precios provisionales no cabe la revisión de precios. :contentReference[oaicite:51]{index=51}"
"¿Está permitido el pago aplazado del precio en los contratos de las Administraciones Públicas?","Como regla general está prohibido, salvo los supuestos legalmente previstos","Sí, siempre que lo acuerden las partes","Sí, cuando el plazo de aplazamiento sea inferior a un año","Sí, siempre que el contrato sea de servicios","1","El artículo 102.8 prohíbe el pago aplazado del precio en los contratos de las Administraciones Públicas, salvo los supuestos en que el pago se establezca mediante arrendamiento financiero o arrendamiento con opción de compra, así como los casos autorizados expresamente por la Ley. :contentReference[oaicite:52]{index=52}"
"¿Qué tipo de revisión de precios admite con carácter general el artículo 103?","La revisión periódica y predeterminada en los términos establecidos en el capítulo correspondiente","Cualquier revisión discrecional acordada por el órgano de contratación","La revisión periódica no predeterminada como regla general","La revisión automática de todos los contratos una vez al año","1","El artículo 103.1 establece que los precios solo podrán ser objeto de revisión periódica y predeterminada en los términos del capítulo II del Título III. :contentReference[oaicite:53]{index=53}"
"Salvo la excepción prevista para determinados contratos no SARA, ¿qué ocurre con la revisión periódica no predeterminada o no periódica?","No cabe","Es obligatoria cuando aumente el IPC","Puede establecerse libremente en los pliegos","Solo puede aplicarse a contratos de suministro","1","El artículo 103.1 establece que, salvo los contratos no sujetos a regulación armonizada a los que se refiere el artículo 19.2, no cabe la revisión periódica no predeterminada o no periódica de los precios. :contentReference[oaicite:54]{index=54}"
"¿En qué contratos puede llevarse a cabo, previa justificación, la revisión periódica y predeterminada de precios?","En contratos de obras, determinados suministros de fabricación de armamento y equipamiento, suministros de energía y otros contratos con período de recuperación de la inversión igual o superior a cinco años","En todos los contratos de servicios de duración superior a un año","En todos los contratos de suministro con independencia de su duración","Únicamente en concesiones de obras","1","El artículo 103.2 enumera los contratos en los que puede proceder la revisión periódica y predeterminada: obras, determinados suministros de fabricación de armamento y equipamiento de las Administraciones Públicas, suministro de energía y otros contratos cuyo período de recuperación de la inversión sea igual o superior a cinco años. :contentReference[oaicite:55]{index=55}"
