"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Numero respuesta correcta","Explicación"
"¿Qué documento debe enviarse a la DEF-Contratación para una propuesta de contratación por procedimiento negociado en la UC3M?","Una «Propuesta de contratación por procedimiento negociado», acompañada de los informes señalados para cada caso y de un borrador del Pliego Técnico","Únicamente un certificado de exclusividad","Una «Propuesta de contratación por procedimiento abierto» y tres presupuestos","La factura y el contrato firmado","1","El apartado 21.2.2 exige enviar a la DEF-Contratación la propuesta específica de contratación por procedimiento negociado, acompañada de los informes señalados para cada caso y de un borrador del Pliego Técnico. :contentReference[oaicite:12]{index=12}"
"⭐⭐⭐ Cuando el procedimiento negociado sin publicidad de la UC3M se fundamenta en exclusividad, ¿qué documento adicional debe acompañarse?","Un certificado de exclusividad de la empresa","Un certificado de clasificación empresarial","Una certificación del Consejo Social","Un informe de auditoría externa","1","El apartado 21.2.2 de las normas de contratación de la UC3M establece que, cuando el procedimiento negociado sin publicidad se fundamente en razones de exclusividad, deberá acompañarse un certificado de exclusividad de la empresa."
"👑 En un procedimiento negociado sin publicidad de la UC3M basado en una situación de exclusividad, ¿qué documento específico debe incorporarse para acreditar dicha circunstancia?","Un certificado de exclusividad de la empresa.","Un certificado de clasificación empresarial correspondiente al objeto del contrato.","Una certificación del Consejo Social que declare la inexistencia de otros operadores económicos.","Un informe de auditoría externa que acredite la imposibilidad de concurrencia.","1","El apartado 21.2.2 de las normas de contratación de la UC3M establece que, cuando el procedimiento negociado sin publicidad se fundamente en exclusividad, debe acompañarse un certificado de exclusividad de la empresa."
"¿Dónde deben publicarse en la UC3M la adjudicación y formalización de los contratos negociados sin publicidad?","En el Perfil de contratante de la Universidad, con independencia de su importe","Solo en el Diario Oficial de la Unión Europea","Únicamente en el BOE","Solo cuando superen el umbral de regulación armonizada","1","Las Normas de ejecución 2026 establecen que, en todos los casos y con independencia de su importe, la adjudicación y formalización de estos contratos se publicarán en el Perfil de contratante de la Universidad. :contentReference[oaicite:14]{index=14}"
"¿Qué publicidad adicional se exige para la formalización de un contrato negociado sin publicidad de la UC3M sujeto a regulación armonizada?","También debe publicarse su formalización en el Diario Oficial de la Unión Europea","Debe publicarse su adjudicación en el BOE","Debe publicarse toda la negociación en el DOUE","Debe publicarse la oferta ganadora en el BOE y en el DOUE","1","El apartado 21.2.2 establece que, cuando el contrato esté sujeto por su cuantía a regulación armonizada, también es obligatoria la publicación de su formalización en el Diario Oficial de la Unión Europea. :contentReference[oaicite:15]{index=15}"
"⭐⭐⭐ ¿Cuál de las siguientes asociaciones entre procedimiento y documentación interna de la UC3M es correcta?","Procedimiento abierto → propuesta específica, borrador de Pliego Técnico e informes justificativos; procedimiento negociado → propuesta específica, informes y borrador de Pliego Técnico","Procedimiento abierto → certificado de exclusividad; procedimiento negociado → tres presupuestos","Procedimiento abierto → factura; procedimiento negociado → contrato formalizado","Procedimiento abierto → autorización del Consejo Social en todo caso; procedimiento negociado → informe de auditoría","1","Las Normas de ejecución diferencian la documentación de ambos procedimientos: el abierto exige la propuesta de contratación por procedimiento abierto, borrador de Pliego Técnico e informes justificativos; el negociado exige su propuesta específica, informes correspondientes y borrador de Pliego Técnico. En el supuesto de exclusividad se añade el certificado correspondiente."
"En relación con la documentación interna exigida por las Normas de ejecución de la UC3M para determinados procedimientos de contratación, ¿cuál de las siguientes afirmaciones es correcta?","En el procedimiento abierto se incluye la propuesta específica correspondiente, el borrador del Pliego Técnico y los informes justificativos; cuando se trata de un supuesto de exclusividad, se incorpora además el certificado correspondiente.","En el procedimiento abierto debe aportarse necesariamente un certificado de exclusividad, mientras que en el procedimiento negociado basta con presentar tres presupuestos alternativos.","Tanto en el procedimiento abierto como en el negociado la documentación inicial se limita a la factura y al contrato formalizado, incorporándose los informes justificativos únicamente después de la adjudicación.","El procedimiento negociado exige siempre autorización del Consejo Social y un informe de auditoría, mientras que el procedimiento abierto requiere exclusivamente el borrador del Pliego Técnico.","1","Las Normas de ejecución de la UC3M diferencian la documentación asociada a los procedimientos de contratación. Para el procedimiento abierto se contempla la propuesta correspondiente, el borrador del Pliego Técnico y los informes justificativos. En los supuestos de exclusividad se incorpora además el certificado que acredita dicha circunstancia. La documentación no puede reducirse a la factura o al contrato formalizado, que corresponden a fases distintas de la contratación."
"¿Qué condiciones establece la UC3M para los contratos menores respecto de su duración?","No pueden tener una duración superior a un año y no son susceptibles de prórroga","Pueden durar hasta dos años y prorrogarse una vez","Pueden durar indefinidamente mientras exista crédito","Su duración máxima es de cinco años, pero pueden prorrogarse anualmente","1","El apartado 21.1.1 de las Normas de ejecución 2026 establece que los contratos menores no pueden tener una duración superior a un año y no son susceptibles de prórroga."
"¿Cuál es el límite de cuantía, IVA excluido, establecido por la UC3M para los contratos menores de obras?","Inferior a 40.000 euros","Inferior a 15.000 euros","Inferior a 50.000 euros en todos los casos","Inferior a 100.000 euros","1","Las Normas de ejecución 2026 fijan para los contratos menores de obras una cuantía inferior a 40.000 euros, IVA excluido."
"¿Cuál es el límite general de cuantía, IVA excluido, para los contratos menores de suministros y servicios en la UC3M?","Inferior a 15.000 euros","Inferior a 40.000 euros","Inferior a 50.000 euros","Inferior a 100.000 euros","1","El apartado 21.1.1 establece un límite inferior a 15.000 euros, IVA excluido, para suministros y servicios."
"¿Qué límite específico establecen las Normas de ejecución 2026 para determinados suministros y servicios de Proyectos de Investigación?","Inferior a 50.000 euros, IVA excluido","Inferior a 15.000 euros, IVA incluido","Inferior a 40.000 euros, IVA excluido","Inferior a 100.000 euros, IVA excluido","1","Las Normas de ejecución 2026 contemplan un límite de 50.000 euros, IVA excluido, para suministros y servicios específicos de Proyectos de Investigación, según la referencia normativa indicada en el propio documento. :contentReference[oaicite:20]{index=20}"
"¿Cuál de los siguientes conjuntos recoge requisitos establecidos por la UC3M para la gestión de contratos menores?","Aprobación del gasto, solicitud de tres presupuestos, factura, informe del órgano de contratación y justificación de que no se altera el objeto del contrato","Únicamente factura y autorización del Rector","Tres presupuestos y contrato formalizado mediante escritura pública","Informe del Consejo Social y publicación en el DOUE","1","El apartado 21.1.2 enumera, entre otros, la aprobación del gasto, solicitud de tres presupuestos, factura, informe del órgano de contratación y justificación de que no se está alterando el objeto del contrato para evitar las reglas generales. :contentReference[oaicite:21]{index=21}"
"¿Qué debe justificarse expresamente en la gestión de los contratos menores de la UC3M respecto del objeto contractual?","Que no se está alterando el objeto del contrato para evitar la aplicación de las reglas generales de contratación","Que el contrato se ha adjudicado al proveedor habitual","Que el contrato tendrá necesariamente una duración superior a un año","Que la empresa contratista dispone de derechos exclusivos","1","Las Normas de ejecución exigen justificar que no se está alterando el objeto del contrato con la finalidad de evitar la aplicación de las reglas generales de contratación. :contentReference[oaicite:22]{index=22}"
"¿Qué debe justificarse respecto de los contratos menores suscritos por un mismo contratista?","Que el contratista no ha suscrito más contratos menores que, individual o conjuntamente, superen la cifra del límite del contrato menor, con la excepción indicada para determinados supuestos de exclusividad","Que nunca haya contratado anteriormente con la Universidad","Que haya contratado al menos una vez con la Universidad","Que todos sus contratos anteriores hayan sido contratos sujetos a regulación armonizada","1","Las Normas de ejecución exigen justificar que el contratista no ha suscrito más contratos menores que, individual o conjuntamente, superen el límite del contrato menor. El propio documento excluye los supuestos del artículo 168.a.2 de la LCSP relativos a determinados contratos por exclusividad. :contentReference[oaicite:23]{index=23}"
"¿Dónde deben iniciarse todos los contratos menores de la UC3M?","En el procedimiento electrónico habilitado al efecto desde la Sede Electrónica de la Universidad","En el Perfil de contratante de la Universidad","En el Diario Oficial de la Unión Europea","Mediante solicitud presencial ante el Consejo Social","1","Las Normas de ejecución establecen que para la gestión de los contratos menores se ha habilitado un procedimiento electrónico accesible desde la Sede Electrónica y que todos deben iniciarse mediante dicho procedimiento e incorporar el número de expediente asignado. :contentReference[oaicite:24]{index=24}"
"¿Qué debe hacerse con los suministros y obras imputados al Capítulo VI cuando se tramitan como contratos menores?","Deben acompañarse de la documentación requerida para el Inventario de los bienes u obras objeto del contrato","Deben publicarse obligatoriamente en el DOUE","Deben tramitarse siempre mediante procedimiento restringido","Deben contar necesariamente con financiación externa","1","El apartado 21.1.2 exige que los suministros y obras imputados al Capítulo VI vayan acompañados de la documentación requerida para el Inventario de los bienes u obras objeto del contrato. :contentReference[oaicite:25]{index=25}"
"¿Qué debe acompañar específicamente a los contratos menores de obras?","El presupuesto","El certificado de exclusividad","La garantía definitiva","El anuncio de licitación en el DOUE","1","Las Normas de ejecución incluyen expresamente el presupuesto entre la documentación requerida en el caso de las obras. :contentReference[oaicite:26]{index=26}"
"¿Qué excepción contempla la UC3M respecto de la solicitud de tres presupuestos en determinados contratos menores?","La excepción no opera cuando los contratos menores están enmarcados en proyectos financiados por la Comunidad de Madrid o entidades nacionales cuyas convocatorias o normativa establezcan otros requisitos","Los contratos menores de obras nunca requieren tres presupuestos","Los contratos financiados por la Comunidad de Madrid quedan siempre exentos de cualquier requisito adicional","Los contratos de suministros quedan siempre exentos de solicitar presupuestos","1","Las Normas de ejecución señalan que la excepción a la solicitud de los tres presupuestos no tendrá efecto en contratos menores enmarcados en proyectos financiados por la Comunidad de Madrid o entidades nacionales cuando sus convocatorias o, en su defecto, la normativa estatal o autonómica establezcan otros requisitos. :contentReference[oaicite:27]{index=27}"
"👑 ¿Qué resolución se cita expresamente en las Normas de ejecución del Presupuesto 2026 de la UC3M en relación con el procedimiento electrónico para la gestión de los contratos menores?","La Resolución de Gerencia sobre gestión de Contratos Menores de 22 de abril de 2020","La Resolución de 7 de junio de 2020 por la que se nombró la Mesa de contratación","La Resolución Rectoral de 31 de mayo de 2022 relativa a las competencias de determinados órganos y miembros de la Universidad","La modificación de la Mesa de contratación de 2 de diciembre de 2021","1","El apartado 21.1.2 de las Normas de ejecución del Presupuesto 2026 señala que, para la gestión de los contratos menores, se ha habilitado un procedimiento electrónico accesible desde la Sede Electrónica de la Universidad y que todos los contratos menores deben iniciarse mediante dicho procedimiento. A continuación identifica como antecedente la Resolución de Gerencia sobre gestión de Contratos Menores de 22 de abril de 2020. Las restantes resoluciones son mencionadas en el propio documento, pero se refieren al nombramiento, modificación o atribución de competencias relacionadas con la Mesa de contratación y los órganos de contratación."
"¿Qué requisito previo debe cumplirse para que la UC3M pueda realizar contratos a través de la Central de Contratación del Estado?","Que la Universidad se haya adherido previamente al concreto acuerdo marco tramitado y adjudicado por dicha Central","Que el contrato sea siempre de suministro","Que exista autorización previa del Consejo Social","Que el contrato tenga un valor estimado inferior al de un contrato menor","1","El apartado 21.4 establece que la realización de contratos a través de la Central de Contratación del Estado requiere que la Universidad se haya adherido previamente al concreto acuerdo marco tramitado y adjudicado por dicha Central. :contentReference[oaicite:29]{index=29}"
"Si la UC3M está adherida al acuerdo marco concreto de la Central de Contratación del Estado al que se refiere una contratación, ¿qué normas deben consultarse?","Los supuestos, requisitos y formalidades exigidos por la propia Central de Contratación para ese acuerdo marco concreto","Únicamente las Normas de ejecución de la UC3M, sin atender al acuerdo marco","Exclusivamente la LCSP, sin necesidad de consultar el acuerdo marco","Las normas del procedimiento abierto con independencia del acuerdo marco","1","El apartado 21.4 establece que, si existe adhesión al acuerdo marco objeto de la contratación, los supuestos, requisitos y formalidades serán los exigidos por la propia Central de Contratación para ese acuerdo marco concreto y deberán consultarse en cada caso. :contentReference[oaicite:30]{index=30}"
"¿Qué órgano tramita los contratos derivados de un acuerdo marco celebrado por la UC3M?","La DEF-Contratación","El Consejo Social","El Servicio Jurídico exclusivamente","El Consejo de Gobierno","1","El apartado 21.5 establece que los contratos derivados de un acuerdo marco serán tramitados por la DEF Contratación, previa solicitud del Servicio Gestor. :contentReference[oaicite:31]{index=31}"
"¿Qué debe enviar el Servicio Gestor para iniciar la tramitación de un contrato derivado de un acuerdo marco de la UC3M?","La propuesta de contratación con los datos concretos para cada contrato derivado","Un certificado de exclusividad","Una nueva propuesta de procedimiento negociado","La factura del contrato derivado","1","El apartado 21.5 establece que la DEF Contratación tramita estos contratos previa solicitud del Servicio Gestor, que deberá enviar la propuesta de contratación con los datos concretos de cada contrato derivado. :contentReference[oaicite:32]{index=32}"
"¿A qué deben sujetarse las contrataciones realizadas en el ámbito de un acuerdo marco celebrado por la UC3M?","A las condiciones, requisitos y formalidades establecidos en el Pliego de Cláusulas Administrativas del respectivo acuerdo marco","Siempre a las reglas de los contratos menores","Exclusivamente a las instrucciones del Servicio Gestor","A un nuevo pliego aprobado específicamente para cada contrato derivado","1","El apartado 21.5 establece que las contrataciones en el ámbito de cada acuerdo marco se sujetarán a las condiciones, requisitos y formalidades establecidos en el PCAP del respectivo acuerdo marco. :contentReference[oaicite:33]{index=33}"
"⭐⭐⭐ ¿Qué ocurre cuando la UC3M establece o se adhiere a un Sistema Dinámico de Adquisición?","Las contrataciones basadas en el sistema se sujetan a las condiciones, requisitos y formalidades de su Pliego de Cláusulas Administrativas y a las instrucciones concretas de la DEF","Todas las contrataciones pasan automáticamente a ser contratos menores","Debe utilizarse siempre el procedimiento negociado sin publicidad","Las contrataciones deben tramitarse directamente por el Consejo Social","1","El apartado 21.6 establece que las contrataciones basadas en un Sistema Dinámico de Adquisición se sujetarán al PCAP del sistema y a las instrucciones concretas de la DEF sobre procedimiento interno y modelos de solicitud. :contentReference[oaicite:34]{index=34}"
"⭐⭐⭐ ¿Qué diferencia refleja correctamente el régimen interno de la UC3M respecto de las contrataciones derivadas de un Acuerdo Marco y de las basadas en un Sistema Dinámico de Adquisición?","En ambos casos las contrataciones deben sujetarse al correspondiente instrumento de contratación y a las instrucciones internas aplicables de la DEF, pero el Acuerdo Marco y el Sistema Dinámico de Adquisición constituyen instrumentos de racionalización de la contratación distintos.","Las contrataciones derivadas de un Acuerdo Marco se someten al procedimiento abierto, mientras que las basadas en un Sistema Dinámico de Adquisición deben tramitarse siempre mediante procedimiento negociado sin publicidad.","Ambos instrumentos producen automáticamente contratos menores cuando el importe de cada contratación individual no supera los límites establecidos para estos contratos.","El Sistema Dinámico de Adquisición sustituye al Acuerdo Marco cuando la Universidad necesita contratar prestaciones de uso corriente, por lo que no pueden coexistir ambos instrumentos.","1","El apartado 21.5 regula las contrataciones derivadas de los Acuerdos Marco y el apartado 21.6 las contrataciones basadas en Sistemas Dinámicos de Adquisición. Ambos instrumentos tienen reglas propias y las contrataciones deben sujetarse a las condiciones establecidas en el instrumento correspondiente y a las instrucciones internas aplicables."
"👑 ¿Cuál de las siguientes afirmaciones refleja correctamente el régimen interno de la UC3M respecto de las contrataciones derivadas de un Acuerdo Marco y de las basadas en un Sistema Dinámico de Adquisición?","Las contrataciones derivadas de un Acuerdo Marco y las basadas en un Sistema Dinámico de Adquisición se rigen, respectivamente, por las condiciones del instrumento correspondiente y por las instrucciones internas aplicables de la DEF, sin que ambos instrumentos sean equivalentes.","Las contrataciones derivadas de un Acuerdo Marco deben tramitarse mediante procedimiento abierto, mientras que las basadas en un Sistema Dinámico de Adquisición deben tramitarse mediante procedimiento negociado sin publicidad.","Ambos instrumentos determinan automáticamente la adjudicación de contratos menores cuando el importe de cada contratación individual no supera los límites establecidos para estos contratos.","Las contrataciones basadas en un Sistema Dinámico de Adquisición quedan sometidas a las mismas reglas que las derivadas de un Acuerdo Marco, por lo que la Universidad no establece instrucciones internas diferenciadas para ninguno de ellos.","1","Los apartados 21.5 y 21.6 de las Normas de Gestión Presupuestaria regulan separadamente las contrataciones derivadas de Acuerdos Marco y las contrataciones basadas en Sistemas Dinámicos de Adquisición. Cada instrumento tiene sus propias condiciones y las contrataciones deben tramitarse conforme a las instrucciones internas aplicables de la Dirección Económico Financiera."
"👑 ¿Qué criterio debe seguir la UC3M al tramitar contrataciones derivadas de un Acuerdo Marco conforme al apartado 21.5 de las Normas de Gestión Presupuestaria?","Deben sujetarse a las condiciones establecidas en el Acuerdo Marco y a las instrucciones internas que resulten aplicables para su tramitación.","Deben tramitarse siempre como contratos menores cuando el importe de cada contratación derivada no supere los límites establecidos para estos contratos.","Deben tramitarse necesariamente mediante un nuevo procedimiento abierto, con independencia de las condiciones establecidas en el Acuerdo Marco.","Deben someterse exclusivamente a las instrucciones de la Dirección Económico Financiera, sin quedar vinculadas por las condiciones establecidas en el Acuerdo Marco.","1","El apartado 21.5 regula las contrataciones derivadas de los Acuerdos Marco y establece que deben sujetarse a las condiciones previstas en el correspondiente Acuerdo Marco y a las instrucciones internas aplicables a su tramitación."
"👑 ¿Cuál de las siguientes afirmaciones diferencia correctamente los Acuerdos Marco y los Sistemas Dinámicos de Adquisición en el régimen interno de contratación de la UC3M?","La normativa interna dedica reglas diferenciadas a las contrataciones derivadas de Acuerdos Marco y a las basadas en Sistemas Dinámicos de Adquisición, aunque en ambos casos las contrataciones quedan sometidas a las condiciones del instrumento correspondiente y a las instrucciones internas aplicables.","Los Acuerdos Marco constituyen procedimientos de adjudicación y los Sistemas Dinámicos de Adquisición son contratos menores de duración prolongada.","Los Sistemas Dinámicos de Adquisición sustituyen necesariamente a los Acuerdos Marco cuando las prestaciones son de uso corriente, por lo que ambos instrumentos no pueden utilizarse simultáneamente.","Las contrataciones derivadas de Acuerdos Marco quedan fuera de las instrucciones internas de la Universidad, mientras que las basadas en Sistemas Dinámicos de Adquisición se someten exclusivamente a ellas.","1","Los apartados 21.5 y 21.6 regulan separadamente las contrataciones derivadas de Acuerdos Marco y las basadas en Sistemas Dinámicos de Adquisición. Ambos son instrumentos de racionalización distintos y las contrataciones que se realicen mediante ellos deben respetar las condiciones del instrumento correspondiente y las instrucciones internas aplicables."
"Conforme al apartado 21.6 de las normas de contratación de la UC3M, ¿a qué deben sujetarse las contrataciones basadas en un Sistema Dinámico de Adquisición establecido por la Universidad?","A las condiciones, requisitos y formalidades establecidos en el Pliego de Cláusulas Administrativas del Sistema Dinámico y a las instrucciones concretas de la DEF sobre el procedimiento interno y los modelos de solicitud.","A las condiciones del Sistema Dinámico, pero la tramitación interna y los modelos de solicitud son determinados exclusivamente por el servicio gestor que promueva cada contratación.","A las condiciones del Sistema Dinámico y, en todo caso, al procedimiento negociado sin publicidad previsto en la Ley de Contratos del Sector Público.","A las condiciones del Sistema Dinámico, correspondiendo al Consejo Social establecer en cada contratación el procedimiento interno y los modelos de solicitud.","1","El apartado 21.6 establece que las contrataciones basadas en un Sistema Dinámico de Adquisición se sujetarán a las condiciones, requisitos y formalidades del Pliego de Cláusulas Administrativas del Sistema Dinámico y a las instrucciones concretas de la DEF sobre el procedimiento interno y los modelos de solicitud."
"¿Cuál es la diferencia interna básica entre un contrato derivado de un acuerdo marco y una contratación basada en un Sistema Dinámico de Adquisición en las Normas de ejecución 2026?","En ambos casos deben atenderse las condiciones del instrumento correspondiente, pero en el Sistema Dinámico se remite además a las instrucciones concretas de la DEF sobre procedimiento interno y modelos de solicitud","Los contratos derivados de acuerdos marco no están sujetos a ningún pliego","Los sistemas dinámicos solo pueden utilizarse para contratos menores","Los acuerdos marco requieren siempre procedimiento abierto y los sistemas dinámicos siempre negociado sin publicidad","1","El apartado 21.5 remite para los acuerdos marco al PCAP del respectivo acuerdo marco; el 21.6 añade para los sistemas dinámicos las instrucciones concretas de la DEF sobre procedimiento interno y modelos de solicitud. :contentReference[oaicite:35]{index=35}"
"¿Qué composición de la Mesa de contratación se recoge en las Normas de ejecución 2026 de la UC3M?","Presidente, un vocal del Servicio Jurídico, un vocal de la Dirección Económica Financiera-Presupuestos, dos vocales nombrados con carácter general entre personal de la Universidad y un Secretario de la Dirección Económica Financiera con voz pero sin voto","Rector, Gerente, Secretario General y dos representantes del Consejo Social","Únicamente representantes de la Dirección Económica Financiera","Presidente, tres vocales del Consejo Social y Secretario del Consejo de Gobierno","1","Las Normas de ejecución describen la Mesa con Presidente; vocal del Servicio Jurídico; vocal de la Dirección Económica Financiera-Presupuestos; dos vocales nombrados con carácter general entre personal de la Universidad; y un Secretario de la Dirección Económica Financiera, con voz pero sin voto. :contentReference[oaicite:36]{index=36}"
"⭐⭐⭐ Conforme a los artículos 175 y 176 de los Estatutos de la UC3M, ¿quién nombra a los componentes de la Mesa de contratación?","El órgano de contratación, que en la Universidad es el Rector.","El Consejo de Gobierno, a propuesta del Rector.","El Consejo Social, cuando el contrato afecte a inversiones universitarias.","El Gerente, por corresponderle la gestión de los servicios administrativos y económicos.","1","El artículo 176 establece que los componentes de la Mesa de contratación serán nombrados por el órgano de contratación conforme a la normativa vigente. El artículo 175 dispone que el Rector es el órgano de contratación de la Universidad."
"👑 Además de establecer quién nombra a los componentes de la Mesa de contratación, ¿qué garantía de representación exige expresamente el artículo 176 de los Estatutos de la UC3M?","Que esté garantizada en todo caso la presencia de, al menos, un representante de los Departamentos, centros o servicios afectados.","Que estén representados obligatoriamente todos los Departamentos, centros y servicios afectados por el contrato.","Que la Mesa esté integrada necesariamente por un representante del Consejo Social y otro del Consejo de Gobierno.","Que la mayoría de los componentes de la Mesa pertenezcan a los Departamentos, centros o servicios afectados.","1","El artículo 176 establece que los componentes de la Mesa serán nombrados por el órgano de contratación y garantiza en todo caso la presencia de, al menos, un representante de los Departamentos, centros o servicios afectados."
"¿Qué representación debe garantizarse en todo caso en la Mesa de contratación conforme a los Estatutos?","Al menos un representante de los Departamentos, centros o servicios afectados","Al menos un representante del Consejo Social","Al menos un representante del Claustro","Al menos dos representantes del personal de administración y servicios","1","El artículo 176 exige garantizar la presencia, al menos, de un representante de los Departamentos, centros o servicios afectados. :contentReference[oaicite:38]{index=38}"
"¿Qué órgano debe prestar acuerdo en determinados contratos relativos a inversiones de duración superior a un año?","El Consejo Social","El Consejo de Gobierno","El Claustro Universitario","La Junta Consultiva","1","El artículo 177 de los Estatutos exige el acuerdo del Consejo Social cuando se trate de contratos relativos a inversiones de duración superior a un año que comprometan fondos públicos de ejercicios presupuestarios futuros. :contentReference[oaicite:39]{index=39}"
"¿Qué dos circunstancias deben concurrir para que resulte exigible el acuerdo del Consejo Social del artículo 177 de los Estatutos?","Que se trate de una inversión de duración superior a un año y que comprometa fondos públicos de ejercicios presupuestarios futuros","Que el contrato supere el límite del contrato menor y tenga financiación europea","Que tenga una duración superior a cinco años y sea un contrato de obras","Que sea un contrato sujeto a regulación armonizada y comprometa fondos del ejercicio corriente","1","El artículo 177 exige acumulativamente que el contrato se refiera a inversiones de duración superior a un año y que comprometa fondos públicos de ejercicios presupuestarios futuros. :contentReference[oaicite:40]{index=40}"
"¿Cuál de las siguientes asociaciones entre órgano y función es correcta en materia de contratación de la UC3M?","Rector → órgano de contratación; órgano de contratación → nombra los componentes de la Mesa; Consejo Social → acuerda determinados contratos plurianuales de inversión","Gerente → órgano de contratación; Rector → nombra siempre la Mesa; Consejo de Gobierno → aprueba todas las contrataciones","Consejo Social → órgano de contratación; Gerente → nombra la Mesa; Rector → interviene solo en contratos menores","Consejo de Gobierno → órgano de contratación; Consejo Social → nombra la Mesa; Rector → aprueba las ofertas","1","Los Estatutos atribuyen al Rector la condición de órgano de contratación; el órgano de contratación nombra los componentes de la Mesa; y el Consejo Social debe prestar acuerdo en el supuesto específico del artículo 177. :contentReference[oaicite:41]{index=41}"
