"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Numero respuesta correcta","Explicación"
"¿Qué ocurre con la unidad encargada del seguimiento y ejecución ordinaria del contrato respecto del responsable del contrato?","La designación del responsable existe con independencia de la unidad encargada del seguimiento y ejecución ordinaria que figure en los pliegos","La existencia de una unidad de seguimiento elimina la necesidad de designar responsable","La unidad de seguimiento debe ser siempre el responsable del contrato","El responsable solo puede existir cuando no haya unidad de seguimiento","1","El artículo 62.1 comienza señalando expresamente que la designación del responsable se produce con independencia de la unidad encargada del seguimiento y ejecución ordinaria que figure en los pliegos. :contentReference[oaicite:12]{index=12}"
"En los contratos de obras, ¿quién ejerce las facultades del responsable del contrato?","El Director Facultativo","La mesa de contratación","El Gerente","El Secretario General","1","El artículo 62.2 establece que, en los contratos de obras, las facultades del responsable del contrato serán ejercidas por el Director Facultativo conforme a los artículos 237 a 246. :contentReference[oaicite:13]{index=13}"
"En las concesiones de obras y de servicios, ¿qué debe hacer la Administración respecto del interés general?","Designar una persona que actúe en defensa del interés general y verifique el cumplimiento de las obligaciones del concesionario","Designar necesariamente una mesa especial de contratación durante toda la ejecución","Transferir la defensa del interés general al concesionario","Designar al Director Facultativo como responsable en todos los casos","1","El artículo 62.3 establece que, en las concesiones de obras y de servicios, la Administración designará una persona que actúe en defensa del interés general y verifique el cumplimiento de las obligaciones del concesionario. :contentReference[oaicite:14]{index=14}"
"¿Qué aspecto se menciona expresamente como objeto de especial atención en la actuación de la persona designada en las concesiones?","La calidad en la prestación del servicio o de la obra","La solvencia económica del contratista durante los cinco años siguientes","La composición de la mesa de contratación","La determinación del presupuesto base de licitación","1","El artículo 62.3 señala especialmente la verificación del cumplimiento de las obligaciones del concesionario en relación con la calidad en la prestación del servicio o de la obra. :contentReference[oaicite:15]{index=15}"
"¿Qué obligación tienen los órganos de contratación respecto de la lucha contra la corrupción?","Deben tomar medidas adecuadas para luchar contra el fraude, el favoritismo y la corrupción","Deben limitarse a publicar el contrato una vez adjudicado","Solo deben actuar cuando exista una denuncia formal","Deben delegar esta función exclusivamente en la mesa de contratación","1","El artículo 64.1 obliga a los órganos de contratación a adoptar medidas adecuadas para luchar contra el fraude, el favoritismo y la corrupción. :contentReference[oaicite:16]{index=16}"
"¿Qué finalidad persigue la prevención de los conflictos de intereses en la contratación pública?","Evitar distorsiones de la competencia y garantizar la transparencia y la igualdad de trato","Garantizar que todos los contratos sean adjudicados mediante procedimiento abierto","Evitar que los contratos tengan financiación pública","Garantizar exclusivamente la protección de los secretos comerciales","1","El artículo 64.1 vincula la prevención, detección y solución de conflictos de intereses con evitar distorsiones de la competencia y garantizar la transparencia y la igualdad de trato. :contentReference[oaicite:17]{index=17}"
"¿Qué situación constituye, al menos, un conflicto de intereses conforme al artículo 64 de la LCSP?","Que personal al servicio del órgano de contratación que participe en el procedimiento tenga directa o indirectamente un interés financiero, económico o personal que pueda comprometer su imparcialidad","Que un licitador haya contratado anteriormente con la Administración","Que el responsable del contrato conozca personalmente al representante de una empresa, sin ningún interés económico o personal relevante","Que una empresa haya participado previamente en otra licitación de la misma Administración","1","El artículo 64.2 define el conflicto de intereses incluyendo las situaciones en las que personal del órgano de contratación que participe o pueda influir en el procedimiento tenga un interés financiero, económico o personal que pudiera comprometer su imparcialidad e independencia. :contentReference[oaicite:18]{index=18}"
"¿Qué deben hacer las personas o entidades que tengan conocimiento de un posible conflicto de intereses?","Ponerlo inmediatamente en conocimiento del órgano de contratación","Comunicarlo únicamente al contratista afectado","Esperar a la adjudicación para comunicarlo","Comunicarlo exclusivamente a la mesa de contratación","1","El artículo 64.2 establece expresamente que quienes tengan conocimiento de un posible conflicto de interés deberán ponerlo inmediatamente en conocimiento del órgano de contratación. :contentReference[oaicite:19]{index=19}"
"Según las Normas de ejecución del Presupuesto de la UC3M, ¿quién es el órgano de contratación de la Universidad con carácter general?","El Rector","El Gerente","El Consejo de Gobierno","El Consejo Social","1","El artículo 21 de las Normas de ejecución establece expresamente que el órgano de contratación de la Universidad es en todos los casos el Rector. :contentReference[oaicite:20]{index=20}"
"👑 ¿Cuál de las siguientes afirmaciones refleja correctamente la relación entre el Rector y el Gerente de la UC3M en materia de contratación?","El Rector es el órgano de contratación de la Universidad, sin perjuicio de las competencias que puedan ser ejercidas por el Gerente en virtud de una delegación","El Gerente es el órgano de contratación de la Universidad cuando ejerce las competencias contractuales que le haya delegado el Rector","El Gerente comparte con el Rector la condición de órgano de contratación, correspondiendo a cada uno los contratos que determine el presupuesto","La delegación de competencias contractuales convierte al Gerente en titular originario de las competencias que ejerza, dejando el Rector de ostentar la condición de órgano de contratación en esas materias","1","El artículo 175 de los Estatutos de la UC3M establece que el Rector es el órgano de contratación de la Universidad. El ejercicio por el Gerente de determinadas competencias contractuales por delegación no altera esta condición. El Gerente puede ejercer las competencias que le sean delegadas por el Rector conforme al régimen de delegación aplicable."
"¿Qué competencia contractual se atribuye al Gerente de la UC3M mediante las delegaciones recogidas en las Normas de ejecución del Presupuesto?","La contratación administrativa para contratos que no superen un millón de euros","La contratación administrativa para todos los contratos con independencia de su importe","La contratación exclusivamente de contratos menores de suministros y servicios","La contratación administrativa únicamente cuando el importe supere un millón de euros","1","El artículo 21 de las Normas de ejecución señala que, en virtud de diversas delegaciones, el Gerente tiene competencia en el ámbito de la contratación para contratos administrativos que no superen un millón de euros. :contentReference[oaicite:22]{index=22}"
"Un contrato administrativo de la UC3M tiene un importe superior a un millón de euros. Conforme a la distribución competencial recogida en las Normas de ejecución, ¿qué órgano mantiene la competencia general?","El Rector","El Gerente","El investigador responsable del proyecto","La Oficina Económica correspondiente","1","La delegación recogida en el artículo 21 atribuye al Gerente competencia para contratos administrativos que no superen un millón de euros. Por tanto, los que superen ese límite quedan fuera de esa delegación y permanece la competencia general del Rector. :contentReference[oaicite:23]{index=23}"
"¿Qué competencia pueden ejercer los investigadores responsables de proyectos de investigación en materia de contratación en la UC3M?","La adquisición del material preciso para el desarrollo de sus proyectos por un importe inferior a 15.000 euros","Cualquier contrato de servicios vinculado al proyecto hasta un millón de euros","La adjudicación de cualquier contrato de obras con independencia de su importe","La adquisición de material de investigación hasta 50.000 euros","1","Las Normas de ejecución atribuyen a los investigadores responsables de proyectos la adquisición del material preciso para el desarrollo de dichos proyectos cuando el importe sea inferior a 15.000 euros. :contentReference[oaicite:24]{index=24}"
"¿Qué límite económico aparece en la delegación atribuida a los investigadores responsables de proyectos de investigación de la UC3M?","Inferior a 15.000 euros","Igual o inferior a 15.000 euros","Inferior a 40.000 euros","Inferior a un millón de euros","1","La norma utiliza expresamente la fórmula «por un importe inferior a 15.000 €», por lo que el límite debe interpretarse literalmente. :contentReference[oaicite:25]{index=25}"
"¿Qué otros órganos o miembros de la UC3M pueden tener competencias contractuales delegadas?","Diferentes órganos y miembros de la Universidad en los casos previstos en la Resolución Rectoral de 31 de mayo de 2022","Todos los órganos colegiados de la Universidad sin necesidad de delegación expresa","Únicamente los Decanos y Directores de Escuela por atribución directa de la LCSP","Exclusivamente el Consejo Social","1","Las Normas de ejecución remiten expresamente a la Resolución Rectoral de 31 de mayo de 2022 para las competencias delegadas a diferentes órganos y miembros de la Universidad. :contentReference[oaicite:26]{index=26}"
"¿Qué límite económico se menciona para las competencias delegadas a diferentes órganos y miembros de la UC3M en la Resolución Rectoral de 31 de mayo de 2022, según las Normas de ejecución?","Inferior a 15.000 euros","Inferior a 10.000 euros","Inferior a 40.000 euros","Inferior a un millón de euros","1","El artículo 21 señala que las competencias atribuidas por la Resolución Rectoral de 31 de mayo de 2022 se ejercen por importe inferior a 15.000 euros. :contentReference[oaicite:27]{index=27}"
"¿Qué órgano nombra a los miembros de la mesa de contratación conforme al artículo 326 de la LCSP?","El órgano de contratación","El responsable del contrato","El Gerente en todos los casos","El órgano de control económico-presupuestario","1","El artículo 326.4 establece que los miembros de la mesa serán nombrados por el órgano de contratación. :contentReference[oaicite:28]{index=28}"
"¿Qué función corresponde a la mesa de contratación y no al órgano de contratación?","Valorar las proposiciones de los licitadores y formular, en su caso, propuesta de adjudicación","Representar a la entidad del sector público en materia contractual","Celebrar el contrato en nombre de la entidad","Designar al responsable del contrato en todos los procedimientos","1","El artículo 326.2 atribuye a la mesa, entre otras funciones, la valoración de proposiciones y la propuesta al órgano de contratación de adjudicación. La competencia para contratar corresponde al órgano de contratación. :contentReference[oaicite:29]{index=29}"
"¿Puede la mesa de contratación adjudicar directamente el contrato en lugar del órgano de contratación?","No, con carácter general la mesa formula la propuesta de adjudicación al órgano de contratación","Sí, siempre que la valoración haya sido unánime","Sí, cuando se trate de un procedimiento abierto","Sí, cuando el contrato sea inferior a 15.000 euros","1","El artículo 326.2.d atribuye a la mesa la propuesta al órgano de contratación de adjudicación del contrato a favor del licitador que haya presentado la mejor oferta; no le atribuye con carácter general la adjudicación. :contentReference[oaicite:30]{index=30}"
"¿Qué función puede ejercer la mesa de contratación en determinados procedimientos cuando así se delegue por el órgano de contratación?","La selección de candidatos en el procedimiento restringido, diálogo competitivo, licitación con negociación y asociación para la innovación","La aprobación del expediente de contratación","La ordenación del pago del contrato","La modificación del contrato en fase de ejecución","1","El artículo 326.2.e permite que la mesa seleccione candidatos en esos procedimientos cuando dicha función le sea delegada por el órgano de contratación y así conste en el pliego de cláusulas administrativas particulares. :contentReference[oaicite:31]{index=31}"
"¿Qué composición básica establece la LCSP para la mesa de contratación?","Presidente, vocales y Secretario","Presidente, Gerente y Secretario","Rector, Secretario General y Gerente","Órgano de contratación, responsable del contrato y Secretario","1","El artículo 326.3 establece que la mesa estará constituida por un Presidente, los vocales que se determinen reglamentariamente y un Secretario. :contentReference[oaicite:32]{index=32}"
"¿Quién designa al Secretario de la mesa de contratación?","Debe ser designado entre funcionarios o, en su defecto, otro tipo de personal dependiente del órgano de contratación","Debe ser siempre el Secretario General de la Universidad","Debe ser necesariamente el responsable del contrato","Debe ser designado por el contratista adjudicatario","1","El artículo 326.5 establece que el Secretario deberá ser designado entre funcionarios o, en su defecto, otro tipo de personal dependiente del órgano de contratación. :contentReference[oaicite:33]{index=33}"
"¿Qué perfiles deben figurar necesariamente entre los vocales de la mesa de contratación de una Administración Pública?","Un funcionario con atribuciones de asesoramiento jurídico y un interventor, o personas con las funciones equivalentes cuando no existan aquellos","Exclusivamente dos funcionarios del órgano de contratación","El responsable del contrato y el Gerente","El contratista y un representante de los licitadores","1","El artículo 326.5 exige necesariamente entre los vocales un funcionario con funciones de asesoramiento jurídico y un interventor, o, a falta de estos, personas del órgano con las funciones correspondientes. :contentReference[oaicite:34]{index=34}"
"¿Puede formar parte de una mesa de contratación el personal eventual?","No, en ningún caso","Sí, siempre que sea designado por el órgano de contratación","Sí, cuando tenga conocimientos técnicos especializados","Sí, exclusivamente en procedimientos negociados","1","El artículo 326.5 establece expresamente que en ningún caso podrán formar parte de las mesas de contratación ni emitir informes de valoración de las ofertas los cargos públicos representativos ni el personal eventual. :contentReference[oaicite:35]{index=35}"
"¿Qué ocurre con el personal funcionario interino respecto de las mesas de contratación?","Puede formar parte únicamente cuando no existan funcionarios de carrera suficientemente cualificados y así se acredite en el expediente","Nunca puede formar parte de una mesa","Puede formar parte siempre que lo designe el Rector","Puede formar parte únicamente de mesas relativas a contratos menores","1","El artículo 326.5 permite excepcionalmente la participación de funcionarios interinos cuando no existan funcionarios de carrera suficientemente cualificados y esta circunstancia quede acreditada en el expediente. :contentReference[oaicite:36]{index=36}"
"👑 ¿Qué regla establece el artículo 326.5 de la Ley 9/2017 respecto del personal que haya participado en la redacción de la documentación técnica del contrato?","No podrá formar parte de la mesa de contratación, salvo los supuestos específicos previstos en la disposición adicional segunda","Podrá formar parte de la mesa cuando no haya intervenido en la valoración de las ofertas y el órgano de contratación lo considere conveniente","Podrá formar parte de la mesa cuando tenga la condición de funcionario de carrera y su participación sea autorizada por el órgano de contratación","No podrá formar parte de la mesa únicamente cuando haya participado también en la elaboración de los criterios de adjudicación del contrato","1","El artículo 326.5 de la Ley 9/2017 prohíbe que formen parte de las mesas de contratación las personas que hayan participado en la redacción de la documentación técnica del contrato de que se trate, salvo los supuestos específicos previstos en la disposición adicional segunda. La prohibición no desaparece por la condición funcionarial, por la ausencia de participación en la valoración económica ni por una autorización del órgano de contratación."
"¿Qué debe publicarse respecto de la composición de la mesa de contratación?","Su composición en el perfil de contratante correspondiente","Únicamente el nombre del Presidente en el BOE","Solo la identidad del Secretario en el expediente","La composición exclusivamente después de la adjudicación","1","El artículo 326.3 establece que la composición de la mesa se publicará en el perfil de contratante del órgano de contratación correspondiente. :contentReference[oaicite:38]{index=38}"
"¿Qué relación existe entre el perfil de contratante y el órgano de contratación?","El perfil de contratante contiene información general y contractual relativa a la actividad del órgano de contratación","El perfil de contratante sustituye al órgano de contratación","El perfil solo contiene información relativa a contratos ya formalizados","El perfil es un órgano colegiado de asistencia al órgano de contratación","1","El artículo 63 regula el perfil de contratante como instrumento de publicidad de la actividad contractual del órgano de contratación. La información comprende tanto datos generales como información particular de los contratos. :contentReference[oaicite:39]{index=39}"
"¿El acceso a la información del perfil de contratante requiere identificación previa?","No, el acceso a la información es libre y no requiere identificación previa, aunque puede exigirse identificación para servicios personalizados","Sí, siempre es necesario identificarse antes de consultar cualquier expediente","Solo los licitadores previamente registrados pueden acceder","Sí, salvo en contratos menores","1","El artículo 63.1 establece que el acceso a la información del perfil de contratante es libre y no requiere identificación previa, aunque puede requerirse para servicios personalizados como alertas o suscripciones. :contentReference[oaicite:40]{index=40}"
"¿Durante cuánto tiempo debe permanecer accesible al público la información contenida en los perfiles de contratante?","Durante un periodo no inferior a cinco años","Durante un periodo máximo de cinco años","Durante un año desde la formalización","Durante tres años salvo que el contrato sea SARA","1","El artículo 63.1 establece que la información contenida en los perfiles de contratante permanecerá accesible al público durante un periodo no inferior a cinco años. :contentReference[oaicite:41]{index=41}"
"¿Dónde debe alojarse el perfil de contratante de los órganos de contratación cuando así lo establece el artículo 63?","En la Plataforma de Contratación del Sector Público o servicio de información equivalente a nivel autonómico","Exclusivamente en la página web de la Universidad","Exclusivamente en el BOE","En el Registro Oficial de Licitadores y Empresas Clasificadas","1","El artículo 63 establece la publicación del perfil de contratante en la Plataforma de Contratación del Sector Público o servicio de información equivalente a nivel autonómico. :contentReference[oaicite:42]{index=42}"
"Pregunta","Respuesta 1","Respuesta 2","Respuesta 3","Respuesta 4","Numero respuesta correcta","Explicación"
"⭐⭐⭐ Conforme al artículo 63.3.a de la Ley 9/2017, ¿cuál de las siguientes opciones recoge correctamente información que debe publicarse en el perfil de contratante respecto de los contratos?","La memoria justificativa, el informe de insuficiencia de medios cuando proceda, la justificación del procedimiento utilizado cuando sea distinto del abierto o restringido, los pliegos y el documento de aprobación del expediente.","La memoria justificativa y los pliegos, pero el informe de insuficiencia de medios solo debe publicarse después de la adjudicación y la justificación del procedimiento únicamente cuando se utilice el procedimiento abierto.","El anuncio de licitación y los pliegos, pero la memoria justificativa y el documento de aprobación del expediente solo deben publicarse cuando el contrato esté sujeto a regulación armonizada.","Únicamente los pliegos y el documento de aprobación del expediente, correspondiendo al órgano de contratación decidir qué otra documentación considera conveniente publicar.","1","El artículo 63.3.a establece, entre la información que debe publicarse en el perfil de contratante, la memoria justificativa, el informe de insuficiencia de medios cuando proceda, la justificación del procedimiento utilizado cuando sea distinto del abierto o restringido, los pliegos y el documento de aprobación del expediente."
"👑 Según el artículo 63.3.a de la Ley 9/2017, ¿cuál de las siguientes afirmaciones sobre la información que debe figurar en el perfil de contratante es correcta?","El informe de insuficiencia de medios se publicará cuando proceda, mientras que la memoria justificativa, los pliegos y el documento de aprobación del expediente forman parte de la información mínima prevista para los contratos.","El informe de insuficiencia de medios debe publicarse en todos los contratos, con independencia de su objeto, y la memoria justificativa solo cuando el contrato sea de servicios.","La memoria justificativa solo debe publicarse cuando se utilice un procedimiento distinto del abierto o restringido, mientras que el informe de insuficiencia de medios debe publicarse siempre.","La publicación de la memoria justificativa, los pliegos y el documento de aprobación del expediente queda a criterio del órgano de contratación, salvo que el contrato esté sujeto a regulación armonizada.","1","El artículo 63.3.a incluye entre la información mínima la memoria justificativa, el informe de insuficiencia de medios cuando proceda, la justificación del procedimiento cuando sea distinto del abierto o restringido, los pliegos y el documento de aprobación del expediente."
"Según las Normas de ejecución del Presupuesto de la UC3M, ¿qué condición presupuestaria debe cumplirse para tramitar un expediente de contratación?","Debe existir crédito adecuado y suficiente en el Presupuesto de la Universidad","Debe existir únicamente crédito suficiente, aunque no sea adecuado a la naturaleza del gasto","Debe existir siempre financiación externa","Debe existir autorización previa del Consejo Social con independencia del importe","1","El artículo 21 de las Normas de ejecución establece que en ningún caso se tramitarán expedientes de contratación que no cuenten con crédito adecuado y suficiente en el Presupuesto de la Universidad. :contentReference[oaicite:44]{index=44}"
"¿Cuál de las siguientes afirmaciones distingue correctamente al órgano de contratación de la mesa de contratación en la UC3M?","El Rector es el órgano de contratación general; la mesa es un órgano de asistencia técnica especializada que realiza funciones como valorar ofertas y formular propuestas","La mesa de contratación es el órgano de contratación y el Rector solo firma los contratos","El Gerente es siempre el órgano de contratación y la mesa aprueba el gasto","El responsable del contrato es el órgano de contratación y el Rector actúa como órgano consultivo","1","Las Normas de ejecución atribuyen al Rector la condición de órgano de contratación general de la Universidad, mientras que la LCSP configura la mesa como órgano de asistencia técnica especializada. :contentReference[oaicite:45]{index=45} :contentReference[oaicite:46]{index=46}"
"Un investigador responsable necesita adquirir material preciso para su proyecto por un importe de 14.500 euros. Según la distribución de competencias recogida en las Normas de ejecución, ¿qué órgano puede ejercer la competencia contractual delegada en este supuesto?","El investigador responsable del proyecto","El Consejo Social","La mesa de contratación","El Secretario General","1","Las Normas de ejecución atribuyen a los investigadores responsables de proyectos la competencia para adquirir el material preciso para el desarrollo de sus proyectos por un importe inferior a 15.000 euros. :contentReference[oaicite:47]{index=47}"
"Un investigador responsable pretende adquirir material preciso para su proyecto por un importe de 15.000 euros exactos. ¿Está dentro del límite expresamente señalado para su delegación?","No, porque la delegación se refiere a importes inferiores a 15.000 euros","Sí, porque el límite incluye expresamente los 15.000 euros","Sí, porque todos los gastos de investigación inferiores a 40.000 euros están delegados","Sí, siempre que exista crédito adecuado y suficiente","1","La norma utiliza el límite «inferior a 15.000 €». Por tanto, 15.000 euros exactos no están comprendidos en esa delegación concreta. :contentReference[oaicite:48]{index=48}"
"Un contrato administrativo de la UC3M tiene un importe de 800.000 euros. ¿Quién puede ejercer la competencia contractual conforme a la delegación indicada en las Normas de ejecución?","El Gerente","El Consejo Social","El responsable del contrato","La mesa de contratación","1","La delegación atribuye al Gerente competencia para contratos administrativos que no superen un millón de euros. 800.000 euros se encuentra dentro de ese límite. :contentReference[oaicite:49]{index=49}"
"Un contrato administrativo de la UC3M tiene un importe de 1.000.000 de euros exactos. ¿Está incluido en la delegación al Gerente descrita como contratos que «no superen el millón de euros»?","Sí","No, porque solo comprende contratos inferiores a un millón","No, porque la delegación solo comprende contratos inferiores a 15.000 euros","Sí, pero únicamente si es un contrato menor","1","La delegación recogida en las Normas de ejecución utiliza la expresión «no superen el millón de euros», por lo que comprende el importe de un millón de euros exactos. :contentReference[oaicite:50]{index=50}"
